Date,CESICNY Index,CESIEUR Index,CESIGBP Index,CESIJPY Index,CESIUSD Index,CL1 Comdty,CPDR3AFC Index,CTOTAUD Index,CTOTBRL Index,CTOTCAD Index,CTOTCNY Index,CTOTEUR Index,CTOTGBP Index,CTOTJPY Index,CTOTUSD Index,DXY Curncy,ES1 Index,ES1 Index,ES1 Index,ES1 Index,ES1 Index,FDTR Index,FEDL01 Index,FHLK1W Index,GC1 Comdty,GT10 Govt,GT2 Govt,HG1 Comdty,IRRBIOER Index,LB1 Comdty,MOVE Index,NDX Index,NDX Index,NDX Index,NDX Index,NDX Index,NDX Index,NQ1 Index,NQ1 Index,NQ1 Index,NQ1 Index,NQ1 Index,OBFR01 Index,RTY Index,RTY Index,RTY Index,RTY Index,RTY Index,RTY1 Index,RTY1 Index,RTY1 Index,RTY1 Index,RTY1 Index,SFR1 COMB Comdty,SFR1 COMB Comdty,SPF Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,TGCRRATE Index,TOMOTCSO Index,USGG12M Index,USGG1M Index,USGG3M Index,USGG6M Index,VIX Index
Date,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_HIGH,PX_LOW,PX_OPEN,PX_SETTLE,PX_VOLUME,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_HIGH,PX_LAST,PX_LOW,PX_OPEN,PX_VOLUME,TURNOVER,PX_HIGH,PX_LOW,PX_OPEN,PX_SETTLE,PX_VOLUME,PX_LAST,PX_HIGH,PX_LAST,PX_LOW,PX_OPEN,PX_VOLUME,PX_HIGH,PX_LAST,PX_LOW,PX_OPEN,PX_SETTLE,PX_LAST,PX_VOLUME,PX_LAST,PX_HIGH,PX_LAST,PX_LOW,PX_OPEN,PX_VOLUME,TURNOVER,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
2000/1/3,,,,,,,5.59,-12.23,-1.74,-1.34,-0.14,-0.66,0.83,-1.58,-3.63,100.22,,,,,,5.5,5.43,5.4,,6.592,6.384,,,350.3,102.95,,,,,530817600,,,,,,,,510.96,498.122,489.95,504.76,,,,,,,,,307.2,,1455.22,,,997213900,67071770.15,,,6.078,,5.411,5.785,24.21
2000/1/4,,,,,,48.15,5.6,-12.6,-1.76,-1.53,-0.11,-0.58,0.82,-1.28,-3.56,100.41,,,,,,5.5,5.38,5.66,503.81,6.497,6.299,115.95,,357.9,101.3,,,,,552567800,,,,,,,,497.05,479.035,478.2,497.05,,,,,,,,,294.54,,1399.42,,,1071554100,70154289.91,,,6.011,,5.447,5.747,27.01
2000/1/5,,,,,,46.94,5.59,-12.4,-1.43,-1.57,-0.06,-0.47,0.75,-0.95,-3.36,100.38,,,,,,5.5,5.41,5.61,500.97,6.594,6.358,117.11,,354.8,106.69,,,,,752572100,,,,,,,,479.48,479.457,467.56,478.38,,,,,,,,,292.56,,1402.11,,,1264023700,83335180.18,,,6.042,,5.425,5.725,26.41
2000/1/6,,,,,,46.7,5.58,-12.32,-1.51,-1.56,-0.05,-0.44,0.75,-0.91,-3.33,100.48,,,,,,5.5,5.54,5.61,501.5,6.524,6.299,116.63,,352.4,105.21,,,,,623498600,,,,,,,,480.19,475.892,474.39,478.83,,,,,,,,,304.09,,1403.45,,,1177726200,71986501.4,,,5.997,,5.383,5.649,25.73
2000/1/7,,,,,,45.64,5.53,-12.05,-1.35,-1.56,0.05,-0.33,0.66,-0.58,-3.09,100.72,,,,,,5.5,5.61,5.61,502.39,6.515,6.308,116.77,,354.5,97.81,,,,,626694300,,,,,,,,488.31,489.011,475.34,475.34,,,,,,,,,310.73,,1441.47,,,1282553600,77826251.6,,,6.006,,5.38,5.646,21.72
2000/1/10,,,,,,46.49,5.57,-12.09,-1.41,-1.48,0.01,-0.41,0.71,-0.87,-3.22,100.99,,,,,,5.5,5.74,5.66,502.03,6.552,6.359,115.75,,356,97.13,,,,,592081000,,,,,,,,502.39,502.569,488.31,488.31,,,,,,,,,305.19,,1457.6,,,1101716400,71566944.91,,,6.049,,5.39,5.656,21.71
2000/1/11,,,,,,48.56,5.61,-12,-1.76,-1.36,-0.16,-0.59,0.82,-1.44,-3.5,100.56,,,,,,5.5,5.63,5.71,505.05,6.657,6.428,115.34,,355,101.03,,,,,605490000,,,,,,,,501.91,493.255,492.56,501.89,,,,,,,,,301.61,,1438.56,,,1114767500,70623760.08,,,6.104,,5.426,5.65,22.5
2000/1/12,,,,,,49.52,5.57,-11.83,-2.04,-1.34,-0.27,-0.65,0.88,-1.68,-3.59,100.62,,,,,,5.5,5.59,5.65,503.81,6.703,6.472,118.41,,347.8,104.11,,,,,561887200,,,,,,,,494.84,490.613,487.09,492.61,,,,,,,,,305.86,,1432.25,,,1081546204,68477963.91,,,6.125,,5.446,5.704,22.84
2000/1/13,,,,,,50.3,5.62,-11.71,-2.09,-1.31,-0.31,-0.68,0.9,-1.8,-3.6,101,,,,,,5.5,5.58,5.61,506.29,6.63,6.394,117.11,,349.5,100.44,,,,,495538600,,,,,,,,501.19,501.851,490.04,490.04,,,,,,,,,313.91,,1449.68,,,1014537700,63230096.61,,,6.091,,5.403,5.681,21.71
2000/1/14,,,,,,52.8,5.56,-11.55,-2.79,-1.19,-0.52,-0.88,1.05,-2.48,-3.93,101.72,,,,,,5.5,5.56,5.61,505.94,6.679,6.43,117.93,,333.5,94.61,,,,,596068400,,,,,,,,508.11,508.283,501.19,501.19,,,,,,,,,322.52,,1465.15,,,1155032600,74811963.17,,,6.111,,5.4,5.667,19.66
2000/1/17,,,,,,,,,,,,,,,,101.77,,,,,,,5.56,,,6.681,6.43,,,,94.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.099,,5.399,5.666,
2000/1/18,,,,,,54.37,5.65,-11.14,-2.76,-1.07,-0.77,-1.05,1.15,-3.01,-4.18,101.86,,,,,,5.5,5.83,5.71,514.28,6.748,6.465,118.41,,,95.91,,,,,520820500,,,,,,,,513.46,514.107,506.2,507.56,,,,,,,,,311.98,,1455.14,,,1061503500,66154941.08,,,6.12,,5.378,5.676,21.5
2000/1/19,,,,,,55.67,5.66,-10.89,-2.64,-1,-0.82,-1.07,1.13,-3.1,-4.18,101.76,,,,,,5.5,5.47,5.66,515.53,6.732,6.448,120.67,,334.8,96.67,,,,,494318700,,,,,,,,520.02,520.656,511.89,513.46,,,,,,,,,310.35,,1455.9,,,1082748800,65113443.44,,,6.098,,5.326,5.687,21.72
2000/1/20,,,,,,55.89,5.66,-10.88,-2.87,-0.84,-0.83,-1.12,1.16,-3.32,-4.23,101.36,,,,,,5.5,5.44,5.64,513.75,6.788,6.492,119.37,,331.6,95.25,,,,,545591600,,,,,,,,528.23,527.984,520.02,520.02,,,,,,,,,303.92,,1445.57,,,1105281900,69871687.51,,,6.108,,5.456,5.81,21.75
2000/1/21,,,,,,,5.63,-11.12,-3,-0.97,-0.79,-1.13,1.18,-3.26,-4.26,101.81,,,,,,5.5,5.36,5.46,514.46,6.765,6.458,119.37,,330.5,96.6,,,,,557039500,,,,,,,,533.95,534.629,526.66,527.28,,,,,,,,,300.17,,1441.36,,,1207143500,69767981.07,,,6.106,,5.464,5.818,20.82
2000/1/24,,,,,,55.16,5.63,-11.23,-2.86,-0.97,-0.72,-1.08,1.14,-3.12,-4.13,102.2,,,,,,5.5,5.53,5.46,511.62,6.685,6.406,117.11,,331.5,94.16,,,,,551995300,,,,,,,,540.6,523.806,522.27,533.94,,,,,,,,,295.48,,1401.53,,,1087670800,63552206.83,,,6.072,,5.452,5.796,24.07
2000/1/25,,,,,,56.05,5.65,-11.17,-2.99,-0.88,-0.82,-1.18,1.2,-3.5,-4.29,102.41,,,,,,5.5,5.46,5.56,508.96,6.692,6.432,115.2,,328.3,96.28,,,,,559679100,,,,,,,,525.27,522.305,513.69,522.96,,,,,,,,,298.91,,1410.03,,,1120845700,64780740.59,,,6.094,,5.562,5.79,23.02
2000/1/26,,,,,,55.18,5.65,-11.33,-2.63,-1.04,-0.73,-1.08,1.13,-3.1,-4.15,102.44,,,,,,5.5,5.52,5.56,508.78,6.664,6.442,115.06,,332,95.45,,,,,530141600,,,,,,,,524.39,521.812,520.36,521.59,,,,,,,,,309.44,,1404.09,,,1128771496,66082521.44,,,6.093,,5.561,5.768,23.03
2000/1/27,,,,,,54.15,5.68,-11.24,-2.44,-0.88,-0.7,-1.02,1.06,-3,-3.99,103.17,,,,,,5.5,5.61,5.66,509.84,6.692,6.506,115.47,,342,95.03,,,,,648611700,,,,,,,,526.02,517.712,513.73,521.04,,,,,,,,,312.54,,1398.56,,,1201663800,67542999.34,,,6.147,,5.602,5.799,23.54
2000/1/28,,,,,,53.95,5.66,-11.47,-2.44,-0.93,-0.65,-0.99,1.05,-2.97,-4,104.48,,,,,,5.5,5.58,5.71,502.56,6.658,6.557,114.17,,345.6,102.58,,,,,621687700,,,,,,,,517.11,505.305,503.06,517.02,,,,,,,,,300.89,,1360.16,,,1119165600,65089780.76,,,6.189,,5.62,5.84,26.14
2000/1/31,,,,,,54.78,5.73,-11.35,-2.9,-0.72,-0.77,-1.1,1.12,-3.37,-4.18,105.13,,,,,,5.5,5.87,5.93,502.91,6.665,6.591,116.16,,346.6,106.26,,,,,598355500,,,,,,,,504.62,496.954,488.53,504.62,,,,,,,,,311.09,,1394.46,,,1067393600,63959534.63,,,6.244,,5.692,5.893,24.95
2000/2/1,,,,,,55.93,5.84,-11.23,-3.13,-0.64,-0.86,-1.2,1.2,-3.76,-4.36,104.92,,,,,,5.5,5.79,5.88,501.51,6.619,6.574,115.27,,342.9,104.72,,,,,511178500,,,,,,,,503.75,504.508,492.65,496.23,,,,,,,,,311.67,,1409.28,,,1007185800,61230822.36,,,6.277,,5.708,5.951,23.45
2000/2/2,,,,,,54.6,5.8,-11.33,-2.9,-0.6,-0.77,-1.11,1.14,-3.51,-4.2,104.79,,,,,,5.75,5.64,5.86,505.55,6.573,6.592,112.46,,347.2,109.22,,,,,505290600,,,,,,,,511.46,510.62,503.75,503.75,,,,,,,,,308.38,,1409.12,,,1016503600,61782467.14,,,6.198,,5.645,5.908,23.12
2000/2/3,,,,,,55.56,5.8,-11.43,-2.97,-0.64,-0.82,-1.17,1.18,-3.69,-4.37,103.8,,,,,,5.75,5.71,5.81,509.42,6.489,6.523,112.94,,357.2,119.13,,,,,554956800,,,,,,,,521.63,522.281,509.89,509.89,,,,,,,,,307.63,,1424.97,,,1096155900,65514293.16,,,6.141,,5.612,5.832,22.01
2000/2/4,,,,,,57.12,5.78,-11,-3.08,-0.46,-0.99,-1.35,1.27,-4.21,-4.56,104.29,,,,,,5.75,5.7,5.78,550.01,6.549,6.618,113.15,,353.2,118.86,,,,,493258900,,,,,,,,527.29,526.215,521.63,521.63,,,,,,,,,302.93,,1424.37,,,1007886900,60136052.53,,,6.195,,5.662,5.947,21.54
2000/2/7,,,,,,56.39,5.77,-11.38,-3.02,-0.75,-0.9,-1.19,1.21,-3.65,-4.35,104.64,,,,,,5.75,5.76,5.87,535.07,6.639,6.67,113.08,,350.6,120.42,,,,,400078200,,,,,,,,532.4,533.091,525.52,525.52,,,,,,,,,300.07,,1424.24,,,872167300,51055341.46,,,6.216,,5.619,5.936,22.79
2000/2/8,,,,,,55.54,5.77,-11.55,-3.02,-0.85,-0.82,-1.06,1.14,-3.24,-4.16,104.22,,,,,,5.75,5.67,5.84,530.15,6.613,6.678,112.12,,353.7,112.84,,,,,549607000,,,,,,,,539.15,538.18,532.39,532.39,,,,,,,,,303.55,,1441.72,,,1071360800,64144197.12,,,6.193,,5.677,6.005,21.25
2000/2/9,,,,,,57.02,5.77,-11.15,-3.3,-0.71,-0.96,-1.16,1.21,-3.66,-4.31,103.5,,,,,,5.75,5.76,5.83,542.28,6.66,6.653,112.4,,351.3,109.04,,,,,502784800,,,,,,,,541.43,536.657,534.9,537.51,,,,,,,,,295.22,,1411.7,,,1027243900,63074740.75,,,6.17,,5.634,5.984,22.9
2000/2/10,,,,,,58.33,5.77,-10.57,-3.46,-0.5,-1.17,-1.26,1.26,-4.04,-4.38,104.13,,,,,,5.75,5.79,5.86,560.02,6.671,6.662,116.16,,351.5,106.33,,,,,486686900,,,,,,,,542.21,542.929,536.01,536.01,,,,,,,,,289.01,,1416.83,,,1015803800,57039621.08,,,6.18,,5.654,5.961,23.07
2000/2/11,,,,,,58.35,5.75,-10.57,-3.46,-0.46,-1.16,-1.24,1.25,-4.02,-4.38,104.1,,,,,,5.75,5.71,5.86,551.06,6.604,6.645,115.54,,356.4,106.07,,,,,477163700,,,,,,,,544.02,537.851,534.64,542.21,,,,,,,,,288.8,,1387.12,,,996076000,57908783.7,,,6.167,,5.631,5.969,24.42
2000/2/14,,,,,,59.96,5.78,-10.73,-4.04,-0.5,-1.29,-1.36,1.37,-4.36,-4.61,104.72,,,,,,5.75,5.79,5.89,546.49,6.554,6.619,115.4,,351.8,102.76,,,,,398678700,,,,,,,,539.94,540.639,533.51,537.1,,,,,,,,,284.23,,1389.94,,,879502800,50282592.31,,,6.177,,5.619,5.968,24.38
2000/2/15,,,,,,59.58,5.77,-11.05,-4.12,-0.49,-1.26,-1.37,1.39,-4.43,-4.65,104.69,,,,,,5.75,5.85,5.91,534.37,6.552,6.628,113.08,,345.2,104.86,,,,,495369100,,,,,,,,540.36,540.911,533.08,539.98,,,,,,,,,290.96,,1402.05,,,1065716200,61278546.46,,,6.176,,5.74,6.006,22.92
2000/2/16,,,,,,59.56,5.77,-11.13,-4.35,-0.54,-1.3,-1.39,1.41,-4.45,-4.69,104.28,,,,,,5.75,5.67,5.86,535.95,6.545,6.611,113.22,,340.3,104.31,,,,,487728200,,,,,,,,549.68,548.442,540.24,540.24,,,,,,,,,286.26,,1387.67,,,977518500,57484578.56,,,6.198,,5.728,5.984,23.51
2000/2/17,,,,,,58.39,5.76,-11.01,-4.03,-0.45,-1.22,-1.28,1.33,-4.22,-4.51,104.27,,,,,,5.75,5.66,5.83,533.84,6.567,6.672,114.31,,339.3,100.77,,,,,531558800,,,,,,,,559.08,559.121,547.76,547.76,,,,,,,,,281.5,,1388.26,,,1061642100,61951835.02,,,6.241,,5.738,6.026,23.17
2000/2/18,,,,,,58.49,5.76,-10.73,-3.93,-0.5,-1.18,-1.24,1.29,-3.97,-4.38,104.63,,,,,,5.75,5.7,5.81,539.99,6.489,6.638,113.76,,340,101.13,,,,,519009800,,,,,,,,560.35,546.433,544.33,558.42,,,,,,,,,271.99,,1346.09,,,1087046700,63046513.43,,,6.249,,5.745,6.011,26
2000/2/21,,,,,,,,,,,,,,,,104.51,,,,,,,5.7,,,6.493,6.638,,,,101.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.221,,5.765,5.999,
2000/2/22,,,,,,59.45,5.77,-10.95,-4.29,-0.65,-1.19,-1.29,1.36,-4.04,-4.48,103.28,,,,,,5.75,5.81,5.81,540.69,6.361,6.551,113.15,,332.8,106.35,,,,,492060400,,,,,,,,547.55,541.761,531.4,545.68,,,,,,,,,273.92,,1352.17,,,982790500,56916899.01,,,6.181,,5.764,5.977,25.86
2000/2/23,,,,,,60.42,5.76,-11.12,-4.46,-0.67,-1.24,-1.35,1.4,-4.22,-4.66,103.53,,,,,,5.75,5.77,5.86,531.38,6.423,6.621,114.72,,332.2,106.18,,,,,572879300,,,,,,,,549.93,550.566,540.95,540.95,,,,,,,,,272.56,,1360.69,,,1055986800,64717402.19,,,6.237,,5.822,6.037,23.89
2000/2/24,,,,,,61.61,5.79,-11.06,-4.68,-0.59,-1.31,-1.43,1.46,-4.47,-4.77,104.01,,,,,,5.75,5.76,5.86,528.75,6.365,6.521,114.04,,335,111.35,,,,,647043200,,,,,,,,556.24,554.846,547.33,549.91,,,,,,,,,268.93,,1353.43,,,1269892200,74972575.17,,,6.192,,5.801,6.004,24.38
2000/2/25,,,,,,62.39,5.76,-11.3,-5.15,-0.53,-1.34,-1.47,1.53,-4.68,-4.92,105.26,,,,,,5.75,5.73,5.86,517.68,6.327,6.395,111.44,,334.5,111.68,,,,,531732200,,,,,,,,561.05,557.417,554.04,554.04,,,,,,,,,266.15,,1333.36,,,1093071600,61972050.81,,,6.134,,5.766,5.969,25.2
2000/2/28,,,,,,61.94,5.78,-11.7,-5.28,-0.51,-1.29,-1.44,1.55,-4.73,-4.93,105.27,,,,,,5.75,5.81,5.87,516.97,6.422,6.513,106.93,,336,108.61,,,,,558539600,,,,,,,,559.81,558.333,548.13,556.74,,,,,,,,,274.19,,1348.05,,,1121266200,65935816.56,,,6.211,,5.828,6.043,24.68
2000/2/29,,,,,,62.56,5.78,-11.7,-5.43,-0.41,-1.32,-1.52,1.61,-5.03,-5.04,105.92,,,,,,5.75,5.85,5.88,516.97,6.409,6.521,107.47,,330.2,106.64,,,,,527741000,,,,,,,,577.72,578.471,557.68,557.68,,,,,,,,,276.92,,1366.42,,,1151877100,66666094.24,,,6.232,,5.781,6.021,23.37
2000/3/1,,,,,,65.31,5.78,-11.13,-5.96,-0.07,-1.64,-1.79,1.76,-5.98,-5.48,104.89,,,,,,5.75,5.78,5.83,515.39,6.386,6.504,108.14,,340.2,104.14,,,,,586033600,,,,,,,,589.38,589.087,577.71,577.71,,,,,,,,,280.82,,1379.19,,,1283640600,76314558.84,,,6.17,,5.77,6.01,21.64
2000/3/2,,,,,,65.15,5.81,-11.36,-5.76,-0.18,-1.58,-1.77,1.75,-5.88,-5.46,105.78,,,,,,5.75,5.76,5.83,509.07,6.384,6.513,107.33,,337.8,99.68,,,,,658665800,,,,,,,,591.41,584.751,579.8,588.35,,,,,,,,,278.08,,1381.76,,,1242000800,72820832.19,,,6.169,,5.759,6.009,21.06
2000/3/3,,,,,,64.78,5.82,-11.23,-5.64,-0.12,-1.56,-1.76,1.72,-5.85,-5.4,106,,,,,,5.75,5.72,5.88,510.12,6.388,6.495,108.14,,337.8,94.85,,,,,557353300,,,,,,,,597.88,598.969,583.91,583.91,,,,,,,,,281.75,,1409.17,,,1182376600,69286977.29,,,6.144,,5.819,6.017,19.21
2000/3/6,,,,,,66.16,5.84,-11.26,-5.8,-0.05,-1.62,-1.88,1.79,-6.24,-5.58,106.16,,,,,,5.75,5.73,5.88,508.54,6.411,6.529,108.34,,335,92.06,,,,,507749000,,,,,,,,604.01,602.502,598.19,598.19,,,,,,,,,278.66,,1391.28,,,1022073700,61557450.83,,,6.188,,5.818,6.037,21.5
2000/3/7,,,,,,70.17,5.84,-11.41,-6.27,-0.07,-1.82,-2.18,1.99,-6.99,-6.07,106.01,,,,,,5.75,5.68,5.86,516.09,6.373,6.486,106.99,,331.3,97.13,,,,,587638200,,,,,,,,606.87,596.035,595.15,601.62,,,,,,,,,269.36,,1355.62,,,1280170996,74224681.29,,,6.143,,5.834,6.053,24.31
2000/3/8,,,,,,64.27,5.84,-11.51,-5.16,-0.37,-1.25,-1.58,1.61,-5.16,-5.07,105.96,,,,,,5.75,5.77,5.86,510.3,6.379,6.495,106.32,,328.5,103.67,,,,,566161900,,,,,,,,600.39,595.432,579.16,595.47,,,,,,,,,266.56,,1366.7,,,1178900500,67862701.04,,,6.164,,5.822,6.075,23.82
2000/3/9,,,,,,65.15,5.86,-11.17,-5.29,-0.19,-1.39,-1.63,1.63,-5.4,-5.14,105.37,,,,,,5.75,5.79,5.87,514.34,6.343,6.477,107.6,,326.2,103.49,,,,,575951900,,,,,,,,606.05,606.845,591.7,594.74,,,,,,,,,270.07,,1401.69,,,1176790896,68143840.92,,,6.152,,5.832,6.063,22.21
2000/3/10,,,,,,65.29,5.86,-11.21,-5.15,-0.23,-1.27,-1.53,1.56,-5.11,-5,105.71,,,,,,5.75,5.75,5.88,509.59,6.383,6.537,106.59,,328.5,100.52,,,,,573593600,,,,,,,,614.16,604.561,603.8,606.11,,,,,,,,,270.41,,1395.07,,,1196319000,71993538.82,,,6.205,,5.892,6.092,21.24
2000/3/13,,,,,,65.83,5.88,-11.25,-4.82,-0.15,-1.22,-1.53,1.54,-5.1,-4.92,105.5,,,,,,5.75,5.81,5.91,512.23,6.37,6.511,106.39,,327.3,101.36,,,,,557685800,,,,,,,,603.81,590.855,582.92,603.81,,,,,,,,,272,,1383.62,,,1063894204,63116185.69,,,6.182,,5.87,6.102,22.85
2000/3/14,,,,,,65.15,5.94,-11.14,-4.88,-0.19,-1.18,-1.48,1.49,-4.94,-4.78,105.2,,,,,,5.75,5.8,5.92,509.07,6.292,6.468,108.14,,329.8,104.39,,,,,659552500,,,,,,,,600.53,573.552,572.56,590.14,,,,,,,,,270.42,,1359.15,,,1177947800,70217376.68,,,6.171,,5.886,6.125,24.41
2000/3/15,,,,,,63.16,5.94,-11.1,-4.61,-0.21,-1.03,-1.37,1.4,-4.59,-4.59,105.38,,,,,,5.75,5.9,5.96,508.89,6.291,6.494,109.22,,326.1,105.54,,,,,712589200,,,,,,,,576.48,559.779,556.43,572.99,,,,,,,,,287.68,,1392.15,,,1375033800,79327713.55,,,6.192,,5.864,6.135,22.34
2000/3/16,,,,,,63.92,5.96,-11.22,-4.5,-0.22,-1.09,-1.43,1.43,-4.73,-4.69,105.18,,,,,,5.75,5.77,5.94,504.32,6.245,6.485,110.36,,,103.72,,,,,741610700,,,,,,,,574.24,574.824,546.22,558.88,,,,,,,,,312.85,,1458.47,,,1508847500,88511391.7,,,6.18,,5.863,6.112,20.77
2000/3/17,,,,,,63.55,5.99,-11.15,-4.44,-0.26,-1.07,-1.38,1.4,-4.59,-4.58,105.2,,,,,,5.75,5.76,5.94,500.81,6.194,6.485,109.69,,334.5,101.67,,,,,552752700,,,,,,,,576.58,575.398,567.37,574.24,,,,,,,,,313.32,,1464.47,,,1347617500,80110807.62,,,6.178,,5.871,6.13,22.37
2000/3/20,,,,,,60.5,6.01,-11.32,-4.14,-0.45,-0.82,-1.11,1.25,-3.7,-4.2,105.15,,,,,,5.75,5.82,6.01,503.44,6.183,6.51,108.75,,334.6,97.1,,,,,489098800,,,,,,,,574.79,549.811,548.82,574.79,,,,,,,,,306.31,,1456.63,,,952892800,58579385.92,,,6.21,,5.901,6.162,22.96
2000/3/21,,,,,,61.07,6.04,-11.33,-4.15,-0.4,-0.91,-1.18,1.28,-3.93,-4.32,105.81,,,,,,6,5.81,6.01,510.3,6.135,6.502,110.23,,337.3,95.1,,,,,594356000,,,,,,,,552.79,553.532,530.83,549.2,,,,,,,,,317.82,,1493.87,,,1103027100,67902045.09,,,6.198,,5.918,6.118,21.7
2000/3/22,,,,,,60.31,6.03,-11.45,-4,-0.41,-0.82,-1.12,1.25,-3.79,-4.22,106.04,,,,,,6,6.02,6.01,506.6,6.112,6.475,110.02,,332.8,93.95,,,,,581549700,,,,,,,,571.24,572.029,552.79,552.79,,,,,,,,,321.21,,1500.64,,,1100379600,71838359.09,,,6.187,,5.917,6.096,21.49
2000/3/23,,,,,,59.98,6.01,-11.5,-4.15,-0.42,-0.8,-1.1,1.27,-3.76,-4.25,105.23,,,,,,6,6.04,6.06,501.51,6.078,6.501,110.16,,324.9,101.83,,,,,625165000,,,,,,,,577.91,574.549,571.19,571.19,,,,,,,,,334.34,,1527.35,,,1188286708,76582346.45,,,6.197,,5.884,6.117,22.26
2000/3/24,,,,,,61.54,6.01,-11.6,-4.3,-0.44,-0.9,-1.2,1.35,-4.06,-4.42,104.77,,,,,,6,5.98,6.06,500.98,6.191,6.624,109.22,,324,102.31,,,,,592454000,,,,,,,,583.27,574.895,571.2,573.79,,,,,,,,,334.28,,1527.46,,,1114965600,73411516.53,,,6.283,,5.902,6.157,23.31
2000/3/27,,,,,,61.03,6.02,-11.57,-4.32,-0.34,-0.89,-1.18,1.34,-4.1,-4.39,105.3,,,,,,6,6.07,6.16,492.9,6.185,6.615,108.07,,325,101.49,,,,,465844600,,,,,,,,577.8,574.39,572.64,574.01,,,,,,,,,325.69,,1523.86,,,940859000,60101662.68,,,6.282,,5.849,6.177,24.53
2000/3/28,,,,,,59.49,6.02,-11.52,-4.19,-0.38,-0.87,-1.1,1.29,-3.85,-4.3,105.53,,,,,,6,6.02,6.19,491.14,6.151,6.598,108.27,,317.8,104.08,,,,,491158500,,,,,,,,573.65,559.769,559.04,573.65,,,,,,,,,327.81,,1507.73,,,986887400,61466313.61,,,6.27,,5.886,6.139,24.86
2000/3/29,,,,,,58.09,6.04,-11.77,-3.88,-0.51,-0.71,-0.95,1.19,-3.35,-4.06,106.22,,,,,,6,5.98,6.18,485.05,6.147,6.589,108.68,,321.2,106.47,,,,,637328100,,,,,,,,561.77,543.633,541.36,559.04,,,,,,,,,325.49,,1508.52,,,1101178400,69647214.67,,,6.27,,5.885,6.15,24.1
2000/3/30,,,,,,58.64,6.04,-11.75,-3.82,-0.53,-0.71,-0.98,1.2,-3.4,-4.05,105.47,,,,,,6,6.11,6.19,485.75,6.055,6.484,108.75,,321,109.42,,,,,764081800,,,,,,,,545.89,532.25,524.27,543,,,,,,,,,323.44,,1487.92,,,1305067300,80238184.58,,,6.225,,5.884,6.128,25.47
2000/3/31,,,,,,59.08,6.05,-11.69,-3.77,-0.39,-0.76,-1.04,1.23,-3.64,-4.1,105.44,,,,,,6,6.17,6.18,489.75,6.004,6.479,108.41,,324.7,106.45,,,,,823482300,,,,,,,,544.32,539.733,526.89,531.57,,,,,,,,,327.62,,1498.58,,,1218784500,70049703.15,,,6.234,,5.871,6.146,24.11
2000/4/3,,,,,,58.04,6.03,-11.87,-3.65,-0.51,-0.65,-0.94,1.17,-3.35,-3.97,105.54,,,,,,6,6.15,6.18,488.01,5.965,6.419,108.07,,326.5,102.95,,,,,757368900,,,,,,,,539.47,516.701,515.56,539.02,,,,,,,,,343.52,,1505.97,,,1243111296,77992072.61,,,6.2,,5.849,6.123,24.03
2000/4/4,,,,,,55.89,6.03,-12.05,-3.36,-0.76,-0.43,-0.76,1.04,-2.6,-3.65,105.17,,,,,,6,5.98,6.07,498.8,5.895,6.308,106.79,,319.5,110.61,,,,,1214580000,,,,,,,,520.13,506.661,464.08,516.01,,,,,,,,,330.6,,1494.73,,,1858811396,112993440.5,,,6.111,,5.876,6.107,27.12
2000/4/5,,,,,,56.73,6.02,-12.02,-3.18,-0.6,-0.49,-0.84,1.06,-2.9,-3.75,105.29,,,,,,6,6.08,6.09,493.93,5.872,6.3,106.52,,326.5,114.76,,,,,745943800,,,,,,,,526.13,518.662,494.03,506.12,,,,,,,,,327.55,,1487.37,,,1182385400,73242178.07,,,6.11,,5.875,6.096,28.41
2000/4/6,,,,,,56.42,6.01,-12.32,-3.34,-0.57,-0.4,-0.79,1.06,-2.82,-3.74,105.52,,,,,,6,6.05,6.06,492.01,5.934,6.393,102.82,,325.6,109.66,,,,,660114800,,,,,,,,535.68,533.35,517.99,517.99,,,,,,,,,330.33,,1501.34,,,1104503300,67070958.35,,,6.153,,5.905,6.117,27.15
2000/4/7,,,,,,54.99,6,-12.19,-3.14,-0.6,-0.26,-0.65,0.98,-2.41,-3.46,105.97,,,,,,6,5.95,6.03,491.66,5.853,6.366,103.49,,323.8,106.93,,,,,553096300,,,,,,,,542.99,543.653,532.5,532.5,,,,,,,,,323.55,,1516.35,,,945718500,58023832.15,,,6.14,,5.892,6.092,24.39
2000/4/10,,,,,,52.38,6.02,-12.04,-2.77,-0.66,-0.03,-0.41,0.81,-1.66,-3.06,105.68,,,,,,6,6.05,6.08,494.27,5.771,6.263,104.44,,319.2,103.57,,,,,567022700,,,,,,,,545.9,519.439,518.66,542.99,,,,,,,,,332.17,,1504.46,,,949688300,58069626.87,,,6.085,,5.849,6.07,25.99
